waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
bat (Tajlandia);THB;1;0,1070;0,1071;0,1092;0,1092;0,1132;0,1136;0,1114;0,1124;0,1131;0,1143;0,1148;0,1152;
dolar amerykañski;USD;1;3,4141;3,3701;3,4158;3,4188;3,6183;3,6876;3,7095;3,7175;3,6837;3,7495;3,7866;3,7691;
dolar australijski;AUD;1;2,7134;2,6572;2,6494;2,6274;2,7248;2,7634;2,7431;2,7211;2,6562;2,6617;2,7426;2,7024;
dolar Hongkongu;HKD;1;0,4366;0,4309;0,4356;0,4356;0,4610;0,4699;0,4727;0,4736;0,4700;0,4784;0,4836;0,4819;
dolar kanadyjski;CAD;1;2,7448;2,6860;2,6425;2,6834;2,8136;2,8107;2,8206;2,8476;2,8267;2,8815;2,8715;2,8050;
dolar nowozelandzki;NZD;1;2,4774;2,4665;2,4777;2,4756;2,5155;2,5600;2,5156;2,4766;2,4339;2,4466;2,5611;2,5673;
dolar singapurski;SGD;1;2,5827;2,5549;2,5968;2,5978;2,7032;2,7371;2,7205;2,7144;2,6884;2,7174;2,7526;2,7501;
euro;EUR;1;4,1636;4,1683;4,2101;4,1948;4,2820;4,3054;4,3301;4,2873;4,2992;4,3060;4,3029;4,2905;
forint (Wêgry);HUF;100;1,3464;1,3378;1,3481;1,3460;1,3527;1,3344;1,3331;1,3276;1,3242;1,3288;1,3355;1,3297;
frank szwajcarski;CHF;1;3,5511;3,6115;3,6062;3,5305;3,6283;3,7270;3,7263;3,7566;3,8086;3,7723;3,7808;3,7975;
funt szterling;GBP;1;4,7112;4,7201;4,7661;4,8084;4,8771;4,9016;4,8806;4,7818;4,8115;4,8810;4,8819;4,7780;
hrywna (Ukraina);UAH;1;0,1200;0,1242;0,1299;0,1308;0,1382;0,1406;0,1404;0,1349;0,1307;0,1334;0,1356;0,1358;
jen (Japonia);JPY;100;3,0758;3,1224;3,2236;3,1762;3,2984;3,3532;3,3261;3,3466;3,2912;3,3252;3,3423;3,3584;
korona czeska;CZK;1;0,1635;0,1646;0,1656;0,1654;0,1672;0,1669;0,1675;0,1669;0,1678;0,1667;0,1659;0,1660;
korona duñska;DKK;1;0,5592;0,5598;0,5652;0,5632;0,5749;0,5780;0,5810;0,5751;0,5765;0,5772;0,5767;0,5747;
korona islandzka;ISK;100;3,3198;3,3415;3,4289;3,4322;3,4870;3,4564;3,4816;3,4532;3,3411;3,2111;3,0833;3,1232;
korona norweska;NOK;1;0,4313;0,4307;0,4391;0,4360;0,4473;0,4543;0,4556;0,4460;0,4463;0,4539;0,4471;0,4369;
korona szwedzka;SEK;1;0,4240;0,4196;0,4142;0,4044;0,4138;0,4188;0,4197;0,4102;0,4111;0,4147;0,4178;0,4172;
kuna (Chorwacja);HRK;1;0,5598;0,5603;0,5660;0,5652;0,5793;0,5832;0,5853;0,5774;0,5786;0,5800;0,5791;0,5794;
lej rumuñski;RON;1;0,8950;0,8953;0,9032;0,9004;0,9228;0,9234;0,9309;0,9233;0,9250;0,9229;0,9231;0,9222;
lew (Bu³garia);BGN;1;2,1288;2,1313;2,1526;2,1448;2,1894;2,2014;2,2140;2,1921;2,1982;2,2016;2,2000;2,1937;
lira turecka;TRY;1;0,9054;0,8909;0,8776;0,8420;0,8194;0,7939;0,7784;0,6364;0,5829;0,6426;0,7046;0,7092;
nowy izraelski szekel;ILS;1;0,9979;0,9652;0,9850;0,9670;1,0087;1,0236;1,0174;1,0134;1,0262;1,0252;1,0217;1,0040;
peso chilijskie;CLP;100;0,5635;0,5647;0,5657;0,5694;0,5783;0,5794;0,5683;0,5653;0,5427;0,5525;0,5587;0,5513;
peso filipiñskie;PHP;1;0,0676;0,0650;0,0655;0,0657;0,0693;0,0695;0,0694;0,0698;0,0683;0,0695;0,0718;0,0714;
peso meksykañskie;MXN;1;0,1802;0,1810;0,1834;0,1860;0,1858;0,1813;0,1947;0,1970;0,1939;0,1958;0,1872;0,1874;
rand (Republika Po³udniowej Afryki);ZAR;1;0,2800;0,2853;0,2879;0,2826;0,2889;0,2776;0,2762;0,2642;0,2506;0,2584;0,2681;0,2648;
real (Brazylia);BRL;1;1,0623;1,0396;1,0420;1,0064;1,0011;0,9744;0,9674;0,9517;0,8972;0,9936;1,0034;0,9711;
ringgit (Malezja);MYR;1;0,8634;0,8617;0,8751;0,8795;0,9135;0,9227;0,9156;0,9082;0,8904;0,9016;0,9049;0,9033;
rubel rosyjski;RUB;1;0,0603;0,0593;0,0598;0,0563;0,0581;0,0588;0,0590;0,0561;0,0545;0,0569;0,0571;0,0559;
rupia indonezyjska;IDR;10000;2,5521;2,4790;2,4820;2,4753;2,5768;2,6330;2,5747;2,5530;2,4806;2,4699;2,5815;2,6001;
rupia indyjska;INR;100;5,3650;5,2328;5,2501;5,2049;5,3595;5,4390;5,3996;5,3424;5,1117;5,0956;5,2723;5,3360;
won po³udniowokoreañski;KRW;100;0,3204;0,3126;0,3186;0,3197;0,3361;0,3373;0,3301;0,3313;0,3293;0,3309;0,3358;0,3356;
yuan renminbi (Chiny);CNY;1;0,5311;0,5332;0,5403;0,5425;0,5679;0,5706;0,5521;0,5423;0,5375;0,5412;0,5457;0,5469;
SDR (MFW);XDR;1;4,9149;4,8956;4,9603;4,9542;5,1531;5,2146;5,2108;5,1803;5,1606;5,2117;5,2390;5,2210;
